M0,GammaTotZp,WW,ZH,tautau,vv,BRbb,tt,BRll,BRqq,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,GammaTotWp,WH,WZ,BRtauvt,BRud,BRus,BRcd,BRcs,tb,Wp_dijet,lv,GoM
1000.0,72.778206,0.3145715,0.27375993,0.016974911,0.053201333,0.0524278,0.046906784,0.033950157,0.20820758,0.208207584,0.033950158,3.1,0.56,72.84656,0.26838788,0.31940106,0.034665,0.09870118,0.005294311,0.005294295,0.09870087,0.09932838,0.207990656,0.069330328,0.07284655999999999
1000.0,68.88632,0.30190483,0.26683187,0.017798446,0.055684526,0.054907043,0.049159203,0.035597242,0.21811682,0.21811682500000001,0.035597242,3.0,0.56,68.94411,0.26160437,0.3065996,0.036318496,0.103409156,0.005546846,0.005546829,0.10340884,0.10406643,0.217911671,0.072637334,0.06894410999999999
1000.0,66.27443,0.2928711,0.261547,0.018400557,0.05749811,0.056718387,0.050805528,0.036801476,0.22535785,0.22535785,0.036801476,2.9,0.56,66.32561,0.25642788,0.29746452,0.037526727,0.106849335,0.005731377,0.005731359,0.106849015,0.10752859,0.225161086,0.075053812,0.06632561
1000.0,61.977264,0.2769267,0.25156143,0.019491633,0.060780257,0.05999787,0.05378775,0.03898365,0.2384707,0.23847071,0.03898365,2.8,0.56,62.01844,0.24664395,0.28133145,0.03971465,0.11307898,0.0060655335,0.006065515,0.11307864,0.11379802,0.23828866849999997,0.079429672,0.06201844
1000.0,58.894436,0.26452905,0.24325314,0.020363545,0.06339918,0.06261597,0.05616995,0.04072749,0.24894167,0.24894167000000003,0.040727488,2.7,0.56,58.92911,0.23850104,0.26877913,0.041461684,0.11805329,0.006332354,0.006332335,0.11805293,0.1188041,0.248770909,0.08292376,0.05892911
1000.0,56.025448,0.2521503,0.23451729,0.021253267,0.06606795,0.06528512,0.058599908,0.04250695,0.25961924,0.25961922000000004,0.042506952,2.6,0.56,56.054585,0.22993739,0.25623947,0.043243114,0.12312553,0.006604428,0.0066044084,0.12312516,0.12390873,0.25945952640000003,0.08648664,0.056054585000000004
1000.0,53.350185,0.2397684,0.22537017,0.022161089,0.06878715,0.06800598,0.06107834,0.044322614,0.27050626,0.270506254,0.044322614,2.5,0.56,53.3746,0.22096922,0.24369073,0.045059413,0.12829706,0.006881828,0.006881807,0.12829667,0.12911329,0.27035736499999996,0.09011926,0.0533746
1000.0,50.85171,0.22736804,0.21582946,0.023086963,0.07155634,0.07077822,0.06360503,0.046174377,0.28160158,0.281601566,0.046174378,2.4,0.56,50.8721,0.21161407,0.23111781,0.04691038,0.13356729,0.007164522,0.0071645,0.13356689,0.13441716,0.28146320199999997,0.093821206,0.0508721
1000.0,48.51564,0.21494022,0.20591508,0.024030482,0.074373946,0.07360039,0.06617881,0.048061434,0.29289964,0.29289963399999996,0.048061434,2.3,0.56,48.53261,0.20189168,0.21851203,0.048795085,0.13893358,0.007452369,0.0074523464,0.13893317,0.13981773,0.2927714654,0.097590632,0.04853261
1000.0,46.32965,0.20248209,0.19564992,0.024990862,0.07723727,0.076469906,0.06879743,0.049982212,0.3043903,0.304390318,0.049982212,2.2,0.56,46.34372,0.19182469,0.20587085,0.050711833,0.14439112,0.00774511,0.007745086,0.14439067,0.1453101,0.30427198600000005,0.10142415,0.04634372
1000.0,44.283108,0.189997,0.1850606,0.025966901,0.08014233,0.0793829,0.07145752,0.05193431,0.31605843,0.31605845,0.05193431,2.1,0.56,44.294724,0.1814394,0.19319804,0.052658092,0.14993267,0.008042357,0.008042333,0.1499322,0.15088703,0.31594955999999996,0.10531668,0.044294724
1000.0,42.36679,0.1774946,0.17417826,0.026956951,0.08308375,0.08233415,0.074154474,0.053914428,0.3278834,0.32788339,0.053914428,2.0,0.56,42.376343,0.1707665,0.18050374,0.054630414,0.15554842,0.008343586,0.008343561,0.15554796,0.15653865,0.327783527,0.10926134,0.042376343
1000.0,40.572655,0.1649911,0.1630392,0.027958864,0.086054705,0.085316956,0.07688233,0.055918273,0.3398386,0.339838577,0.055918272,1.9,0.56,40.58047,0.15984179,0.16780472,0.056624368,0.16122578,0.008648118,0.008648092,0.1612253,0.16225225,0.33974729000000004,0.113249272,0.04058047
1000.0,38.893646,0.15250954,0.15168561,0.028969962,0.08904672,0.08832299,0.07963366,0.057940487,0.35189104,0.351891024,0.057940486,1.8,0.56,38.900017,0.14870678,0.15512471,0.058634445,0.16694906,0.008955114,0.008955087,0.16694856,0.16801207,0.351807821,0.117269448,0.038900016999999995
1000.0,37.32356,0.14008014,0.14016625,0.029986989,0.0920496,0.091342196,0.08239948,0.05997456,0.36400077,0.36400078,0.05997456,1.7,0.56,37.328728,0.13740945,0.1424947,0.06065399,0.17269927,0.009263554,0.009263526,0.17269875,0.173799,0.3639251,0.12130856,0.037328728
1000.0,35.85692,0.12774059,0.12853703,0.031006072,0.095051296,0.09436267,0.08516909,0.062012743,0.3761205,0.37612049799999997,0.062012744,1.6,0.56,35.8611,0.12600474,0.12995325,0.06267511,0.17845398,0.009572235,0.009572206,0.17845345,0.17959043,0.37605187100000004,0.1253508,0.0358611
1000.0,34.48888,0.11553627,0.11686147,0.03202269,0.09803783,0.09737057,0.087930046,0.064045995,0.38819513,0.38819512500000003,0.064045996,1.5,0.56,34.492252,0.11455506,0.117546804,0.064688616,0.18418701,0.009879754,0.009879724,0.18418646,0.18536006,0.388132948,0.12937784,0.034492252
1000.0,33.215153,0.10352056,0.10521108,0.03303164,0.10099323,0.10035005,0.09066806,0.06606392,0.40016147,0.40016145,0.06606392,1.4,0.56,33.217873,0.10313063,0.10532988,0.066683985,0.1898684,0.010184502,0.0101844715,0.18986784,0.19107772,0.4001052135,0.133368612,0.033217872999999995
1000.0,32.031937,0.09175475,0.09366557,0.034027044,0.103899494,0.10328322,0.093366966,0.06805474,0.4119482,0.411948196,0.06805474,1.3,0.56,32.03413,0.09180969,0.09336508,0.06864934,0.19546431,0.010484666,0.010484634,0.19546373,0.19670935,0.41189734,0.13729933,0.03203413
1000.0,30.935848,0.08030807,0.0823128,0.035002332,0.10673661,0.10615017,0.096008755,0.070005335,0.42347592,0.423475925,0.070005334,1.2,0.56,30.937626,0.08067842,0.08172305,0.07057143,0.20093706,0.010778223,0.010778191,0.20093645,0.20221703,0.423429924,0.14114353,0.030937626000000003
1000.0,29.923897,0.0692573,0.071248464,0.035950273,0.109482646,0.10892906,0.098573625,0.07190124,0.4346574,0.434657385,0.07190124,1.1,0.56,29.925348,0.06983067,0.07048213,0.07243573,0.20624527,0.011062955,0.011062921,0.20624465,0.20755912,0.434615796,0.14487214,0.029925348
1000.0,28.993435,0.058686163,0.06057547,0.036863033,0.11211395,0.11159626,0.10104013,0.07372677,0.4453982,0.44539821,0.073726774,1.0,0.56,28.99463,0.059367348,0.059727743,0.07422652,0.21134417,0.011336458,0.011336423,0.21134353,0.21269056,0.445360581,0.14845376,0.02899463
1000.0,28.47329,0.052610867,0.054404706,0.037390336,0.11362723,0.11313256,0.10246335,0.074781395,0.45158955,0.451589554,0.074781396,0.9,0.56,28.474361,0.053318158,0.05354655,0.07525878,0.21428329,0.011494112,0.011494077,0.21428265,0.21564844,0.45155412899999997,0.150518268,0.028474360999999997
1000.0,27.745502,0.043926693,0.045539863,0.038147766,0.115790345,0.11533226,0.10450506,0.07629626,0.46046174,0.46046173,0.07629626,0.8,0.56,27.746424,0.044628453,0.04471028,0.07673798,0.21849501,0.011720028,0.011719992,0.21849434,0.21988703,0.46042937,0.15347668,0.027746424000000002
1000.0,26.93965,0.0341041,0.035453606,0.039010283,0.118234426,0.1178244,0.106825314,0.07802131,0.47052658,0.470526564,0.07802131,0.7,0.56,26.940426,0.034742218,0.034714617,0.07841603,0.22327287,0.011976312,0.011976276,0.2232722,0.2246954,0.470497658,0.1568328,0.026940426
1000.0,26.347324,0.02680111,0.027916104,0.039656255,0.12004699,0.11967892,0.108558625,0.07931327,0.4780287,0.47802873,0.07931327,0.6,0.56,26.348011,0.027354758,0.027282229,0.07966683,0.22683428,0.012167345,0.012167308,0.2268336,0.22827953,0.47800253299999995,0.15933442,0.026348011
1000.0,25.70366,0.018884717,0.019710498,0.040362354,0.12200277,0.12168907,0.11044695,0.080725476,0.48617816,0.486178165,0.080725476,0.5,0.56,25.704256,0.019313114,0.019224849,0.0810256,0.23070309,0.012374867,0.012374829,0.23070239,0.23217304,0.486155176,0.16205198,0.025704256
1000.0,25.241667,0.013318024,0.013919653,0.040864006,0.12336763,0.123100765,0.11178243,0.081728786,0.4919187,0.49191871,0.081728786,0.4,0.56,25.242205,0.013638417,0.013558528,0.08198279,0.23342848,0.012521056,0.012521018,0.23342778,0.23491582,0.49189833400000005,0.16396636,0.025242204999999997
1000.0,24.754889,0.007731697,0.00809189,0.041374475,0.124719925,0.1245129,0.11313234,0.08274973,0.49768704,0.497687037,0.082749732,0.3,0.56,24.755358,0.007927974,0.007871761,0.08294473,0.23616739,0.012667971,0.012667933,0.23616667,0.23767221,0.49766996399999996,0.16589024,0.024755358
1000.0,24.419641,0.0042307046,0.00443146,0.041701328,0.12554824,0.12539205,0.1139874,0.083403446,0.50130534,0.50130539,0.083403446,0.2,0.56,24.420057,0.0043415036,0.00430754,0.083548255,0.2378858,0.012760146,0.012760107,0.23788509,0.2394016,0.501291143,0.1670973,0.024420057
1000.0,24.08624,0.0013433436,0.0014080326,0.041982025,0.12619844,0.12610629,0.11470658,0.08396485,0.50429046,0.50429046,0.083964848,0.1,0.56,24.08659,0.0013793776,0.001367815,0.08404638,0.23930411,0.0128362235,0.012836184,0.23930338,0.24082895,0.5042798975,0.16809354,0.02408659
1000.0,23.875559,0.00017276533,0.0001811341,0.042109556,0.12642027,0.12638175,0.115015134,0.08421991,0.5054995,0.50549948,0.08421991,0.0,0.56,23.87585,0.00017744026,0.00017592027,0.08424842,0.23987938,0.012867081,0.012867042,0.23987865,0.2414079,0.5054921529999999,0.16849764,0.02387585
1000.0,23.6937,0.00025069772,0.0002628395,0.042135756,0.12629925,0.12632726,0.1150373,0.08427231,0.5054146,0.5054145999999999,0.08427231,-0.1,0.56,23.693913,0.00025746622,0.00025528934,0.08423497,0.23984107,0.0128650265,0.012864987,0.23984034,0.24136935,0.5054114235,0.16847074,0.023693912999999997
1000.0,23.60675,0.0015735317,0.0016492696,0.04204877,0.12587357,0.12595646,0.11475897,0.08409833,0.5040411,0.5040410799999999,0.084098332,-0.2,0.56,23.606895,0.0016154863,0.00160242,0.084006645,0.23919098,0.012830155,0.012830117,0.23919025,0.2407151,0.504041502,0.1680141,0.023606895000000003
1000.0,23.576225,0.004740244,0.004964959,0.04180886,0.124952406,0.12510237,0.11405387,0.08361851,0.50075877,0.50075879,0.083618506,-0.3,0.56,23.57628,0.004863015,0.0048275185,0.08346034,0.2376355,0.012746719,0.0127466805,0.23763476,0.23914969,0.5007636595,0.16692146,0.02357628
1000.0,23.613508,0.008590891,0.008990485,0.04150399,0.12387417,0.12407859,0.1131807,0.08300876,0.4967724,0.496772424,0.08300876,-0.4,0.56,23.613487,0.00880553,0.0087494245,0.08279656,0.23574552,0.012645341,0.012645303,0.2357448,0.23724765,0.49678096400000005,0.1655939,0.023613487
1000.0,23.735758,0.0148038715,0.015470873,0.04100164,0.12217022,0.12244011,0.11175992,0.08200405,0.49034932,0.49034932200000003,0.082004048,-0.5,0.56,23.735647,0.015151856,0.015077805,0.08172677,0.23269951,0.012481955,0.012481917,0.23269881,0.23418221,0.490362192,0.16345431,0.023735647
1000.0,23.89915,0.021078471,0.02199662,0.04048827,0.12047269,0.12079489,0.11031881,0.0809773,0.48387295,0.48387294999999997,0.0809773,-0.6,0.56,23.89897,0.021542173,0.021469355,0.08064793,0.22962774,0.012317185,0.012317148,0.22962706,0.23109084,0.483889133,0.16129662,0.02389897
1000.0,24.177368,0.030129785,0.031375684,0.03974246,0.11804889,0.11843298,0.10823567,0.07948566,0.47454888,0.47454888,0.07948566,-0.7,0.56,24.177114,0.03072595,0.030689942,0.079094514,0.22520474,0.012079936,0.012079899,0.22520405,0.2266396,0.47456862499999997,0.158189788,0.024177114
1000.0,24.470247,0.03859697,0.04011116,0.039041806,0.11580041,0.1162331,0.10628573,0.07808434,0.46584648,0.46584648,0.07808434,-0.8,0.56,24.469952,0.039278936,0.039315965,0.07764452,0.22107619,0.011858481,0.011858446,0.22107552,0.2224847,0.46586863700000003,0.15528977,0.024469952
1000.0,24.909544,0.05013831,0.051955756,0.0380846,0.11275819,0.11324743,0.10362909,0.076169915,0.45401672,0.45401672600000004,0.076169916,-0.9,0.56,24.909231,0.05087519,0.05107442,0.075673245,0.2154634,0.011557413,0.011557378,0.21546274,0.2168361,0.454040931,0.1513472,0.024909230999999997
1000.0,25.336962,0.0604683,0.06249293,0.037227128,0.11005393,0.11058683,0.10125445,0.074454956,0.44346148,0.44346149,0.074454956,-1.0,0.56,25.33667,0.061190605,0.06159922,0.0739142,0.21045488,0.0112887565,0.011288723,0.21045424,0.21179561,0.4434865995,0.1478291,0.025336670000000002
1000.0,26.18945,0.0792308,0.08146527,0.035670653,0.10518174,0.1057817,0.09695305,0.07134197,0.42437482,0.42437482000000004,0.07134197,-1.1,0.56,26.189297,0.079761654,0.08071637,0.07073303,0.2013972,0.010802904,0.010802872,0.20139658,0.20268013,0.424399556,0.14146674,0.026189297
1000.0,26.858385,0.09265403,0.09489652,0.03455939,0.101725355,0.102365784,0.09388749,0.06911942,0.410792,0.41079201,0.06911942,-1.2,0.56,26.85842,0.09290718,0.09439373,0.06846895,0.1949507,0.010457115,0.0104570845,0.1949501,0.19619249,0.4108149995,0.13693854,0.026858419999999997
1000.0,27.610983,0.10667898,0.10879208,0.033401493,0.09813951,0.0988169,0.09069714,0.066803604,0.3966703,0.396670297,0.066803604,-1.3,0.56,27.611303,0.1065056,0.108684346,0.06611484,0.18824789,0.010097579,0.010097548,0.18824732,0.18944691,0.396690337,0.132230312,0.027611303
1000.0,28.45042,0.12119764,0.12301624,0.03220719,0.0944551,0.0951659,0.08740998,0.064414985,0.38213298,0.38213297,0.064414986,-1.4,0.56,28.451147,0.12042383,0.12347794,0.06369126,0.18134725,0.00972743,0.0097274,0.1813467,0.18250223,0.38214877999999997,0.127383128,0.028451147
1000.0,29.380327,0.13610765,0.13743886,0.030986287,0.090701535,0.09144216,0.08405278,0.061973143,0.3672976,0.36729758,0.061973144,-1.5,0.56,29.38161,0.13453425,0.13866995,0.061217785,0.17430456,0.009349661,0.009349633,0.17430404,0.17541459,0.36730789399999997,0.12243615,0.02938161
1000.0,30.404867,0.15131412,0.15193734,0.029747952,0.08690626,0.087673165,0.08065058,0.059496455,0.35227412,0.352274123,0.059496454,-1.6,0.56,30.406885,0.14871658,0.15416336,0.05871276,0.16717204,0.008967075,0.008967048,0.16717154,0.16823655,0.352277703,0.11742608,0.030406884999999998
1000.0,31.528801,0.16673103,0.16639791,0.028500643,0.08309442,0.08388414,0.07722642,0.05700181,0.33716363,0.33716361999999994,0.05700181,-1.7,0.56,31.531769,0.16285925,0.16987014,0.056193028,0.15999764,0.008582241,0.008582215,0.15999717,0.16101637,0.337159266,0.112386592,0.031531769
1000.0,32.75759,0.18228227,0.1807167,0.027251994,0.07928861,0.08009778,0.07380108,0.054504488,0.32205707,0.32205709,0.054504488,-1.8,0.56,32.76177,0.1768603,0.18571231,0.053673774,0.15282461,0.008197481,0.008197456,0.15282415,0.15379755,0.322043697,0.107348054,0.032761769999999996
