M0,g_x,gv_x,ch_x,cl_x,GammaTotZp,WW,ZH,BRee,BRmumu,tautau,vv,BRuu,BRdd,BRcc,BRss,BRbb,tt,BRll,BRqq,BRjets_x,gH_x,gF_x,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,g_y,gv_y,ch_y,cl_y,GammaTotWp,WH,WZ,BReve,BRmvm,tauvt,BRud,BRus,BRcd,BRcs,tb,BRlnu,BRqqbar,BRjets_y,gH_y,gF_y,Wp_dijet,lv,mass,GoM
1000.0,0.6534,1.0,-0.556,-1.31637,25.791853,0.01996266,0.020829896,0.040266156,0.040266156,0.04026577,0.12173727,0.12111059,0.12142352,0.12110985,0.12142352,0.12141546,0.110189155,0.08053231,0.4850675,0.7166721,-0.556,-0.562,0.48506748,0.080532312,0.556,0.562,0.6534,1.0,-0.556,-1.31637,25.792461,0.020410102,0.020322036,0.080840796,0.080840796,0.08084041,0.2301758,0.0123465825,0.012346545,0.23017511,0.23164238,0.16168159,0.48504403,0.7166864,-0.556,-0.562,0.4850440375,0.161681592,1.0,0.025792461
2000.0,0.6534,1.0,-0.556,-1.31637,50.993576,0.020127269,0.020345766,0.040053822,0.040053822,0.04005373,0.12039577,0.12023952,0.12031762,0.12023934,0.12031762,0.120315626,0.1175401,0.080107644,0.4811141,0.7189698,-0.556,-0.562,0.4811141,0.080107644,0.556,0.562,0.6534,1.0,-0.556,-1.31637,50.993633,0.020238653,0.020219348,0.080185495,0.080185495,0.080185406,0.22830999,0.012246502,0.012246492,0.22830983,0.23785782,0.16037099,0.4811128,0.7189706,-0.556,-0.562,0.481112814,0.16037099,2.0,0.025496816500000002
3000.0,0.6534,1.0,-0.556,-1.31637,76.325935,0.02015615,0.020253392,0.040015515,0.040015515,0.040015474,0.120150656,0.12008124,0.12011594,0.12008116,0.12011594,0.12011506,0.11888396,0.08003103,0.48039427,0.7193933,-0.556,-0.562,0.48039428000000006,0.08003103,0.556,0.562,0.6534,1.0,-0.556,-1.31637,76.32595,0.020205608,0.020197256,0.08006568,0.08006568,0.080065645,0.22796886,0.012228203,0.012228198,0.22796878,0.23899941,0.16013137,0.48039404,0.71939343,-0.556,-0.562,0.48039404100000005,0.16013136,3.0,0.025441983333333335
4000.0,0.6534,1.0,-0.556,-1.31637,101.69113,0.02016614,0.020220863,0.040002182,0.040002182,0.040002156,0.1200651,0.12002606,0.12004558,0.120026015,0.12004558,0.12004508,0.11935307,0.080004364,0.48014322,0.7195414,-0.556,-0.562,0.480143235,0.080004364,0.556,0.562,0.6534,1.0,-0.556,-1.31637,101.69114,0.02019395,0.020189296,0.08002386,0.08002386,0.08002384,0.22784978,0.012221816,0.012221813,0.22784974,0.23939827,0.16004772,0.48014316,0.71954143,-0.556,-0.562,0.480143149,0.16004772,4.0,0.025422785
