M0,g_x,gv_x,ch_x,cl_x,GammaTotZp,WW,ZH,BRee,BRmumu,tautau,vv,BRuu,BRdd,BRcc,BRss,BRbb,tt,BRll,BRqq,BRjets_x,gH_x,gF_x,Zp_dijet,ll,gH_mod_X_sign_gF,gF_mod,g_y,gv_y,ch_y,cl_y,GammaTotWp,WH,WZ,BReve,BRmvm,tauvt,BRud,BRus,BRcd,BRcs,tb,BRlnu,BRqqbar,BRjets_y,gH_y,gF_y,Wp_dijet,lv,mass,GoM,dijet
1000.0,0.6534,1.0,1.0,0.0,3.4625454,0.4915651,0.5073222,3.4885175e-05,3.4885175e-05,3.4884517e-05,0.00020842494,0.00011900855,0.00015359836,0.000119007294,0.00015359836,0.00015358455,0.00010080406,6.977035e-05,0.00054521253,0.00079960114,1.0,0.0,0.0005452125639999999,6.977035e-05,1.0,0.0,0.6534,1.0,1.0,0.0,3.4623919,0.4970694,0.5004949,8.127983e-05,8.127983e-05,8.1279446e-05,0.00023142586,1.2413636e-05,1.2413599e-05,0.00023142516,0.00023290017,0.00016255966,0.00048767825,0.0007205784,1.0,0.0,0.000487678255,0.00016255966,1.0,0.0034623919,0.0005452125639999999
2000.0,0.6534,1.0,1.0,0.0,6.703136,0.49792778,0.50200206,2.172173e-06,2.172173e-06,2.1721628e-06,1.2977863e-05,7.4102295e-06,9.564011e-06,7.41021e-06,9.564011e-06,9.563796e-06,7.1211293e-06,4.344346e-06,3.394846e-05,5.0633385e-05,1.0,0.0,3.39484615e-05,4.344346e-06,1.0,0.0,0.6534,1.0,1.0,0.0,6.7031155,0.49935722,0.50021094,5.0756253e-06,5.0756253e-06,5.0756194e-06,1.445169e-05,7.751857e-07,7.7518513e-07,1.4451679e-05,1.5056053e-05,1.01512505e-05,3.0453739e-05,4.550979e-05,1.0,0.0,3.045373983e-05,1.01512506e-05,2.0,0.00335155775,3.39484615e-05
3000.0,0.6534,1.0,1.0,0.0,9.994762,0.4990822,0.5009039,4.2881464e-07,4.2881464e-07,4.2881373e-07,2.5619956e-06,1.4628738e-06,1.8880577e-06,1.4628721e-06,1.8880577e-06,1.8880388e-06,1.4374169e-06,8.576293e-07,6.7018614e-06,1.0027317e-05,1.0,0.0,6.7018613e-06,8.5762928e-07,1.0,0.0,0.6534,1.0,1.0,0.0,9.994757,0.49972174,0.50010103,1.0025324e-06,1.0025324e-06,1.0025318e-06,2.8544832e-06,1.5311389e-07,1.5311385e-07,2.854482e-06,2.992601e-06,2.0050647e-06,6.015193e-06,9.007794e-06,1.0,0.0,6.01519294e-06,2.0050648e-06,3.0,0.0033315856666666665,6.7018613e-06
4000.0,0.6534,1.0,1.0,0.0,13.298542,0.4994844,0.5005112,1.3565214e-07,1.3565214e-07,1.3565197e-07,8.1046716e-07,4.627686e-07,5.972722e-07,4.6276833e-07,5.972722e-07,5.9726887e-07,4.5823307e-07,2.713043e-07,2.1200813e-06,3.1755833e-06,1.0,0.0,2.12008133e-06,2.7130428e-07,1.0,0.0,0.6534,1.0,1.0,0.0,13.298539,0.49984494,0.5000583,3.1720305e-07,3.1720305e-07,3.1720296e-07,9.0316365e-07,4.8445514e-08,4.8445504e-08,9.031635e-07,9.4894017e-07,6.344061e-07,1.9032182e-06,2.8521583e-06,1.0,0.0,1.9032181679999999e-06,6.344061e-07,4.0,0.00332463475,2.12008133e-06
