mass,CX-(pb),CX+(pb),CX+-_PDF+,CX+-_PDF-,CX+-_QCD+,CX+-_QCD-,CX0(pb),CX0_PDF+,CX0_PDF-,CX0_QCD+,CX0_QCD-,WH,WW,WZ,ZH,CX0_up,CX0_down,CX+-_up,CX+-_down
3400.0,0.000463361,0.00187714,0.123,-0.103,0.216,-0.216,0.00105885,0.116,-0.098,0.204,-0.204,0.474802,0.471872,0.472743,0.475673,0.0013073348214614326,0.0008192128046849781,0.0029222697062414897,0.0017804166166489087
3500.0,0.000369561,0.00150893,0.126,-0.105,0.23,-0.23,0.000850838,0.119,-0.1,0.215,-0.215,0.474682,0.471925,0.472748,0.475504,0.0010599192122150295,0.0006490888980969955,0.00237112862238453,0.0014035447237324594
3600.0,0.000295015,0.00121305,0.128,-0.107,0.258,-0.258,0.000684318,0.121,-0.102,0.23,-0.23,0.474573,0.471973,0.472751,0.47535,0.0008621630192780221,0.0005121416329084339,0.001942398192547352,0.00108685026992741
3700.0,0.000235716,0.000975141,0.13,-0.109,0.285,-0.285,0.000550813,0.123,-0.103,0.246,-0.246,0.474473,0.472017,0.472754,0.475209,0.0007023066032395428,0.00040391518994511825,0.0015901568680863312,0.0008413848640556929
3800.0,0.000188334,0.000783596,0.133,-0.11,0.313,-0.313,0.000443641,0.125,-0.105,0.261,-0.261,0.474381,0.472058,0.472756,0.475078,0.0005720258304685419,0.0003188319260318641,0.001302469089516027,0.0006494762010677839
3900.0,0.000150705,0.000629536,0.135,-0.112,0.34,-0.34,0.000357546,0.127,-0.107,0.276,-0.276,0.474296,0.472095,0.472758,0.474958,0.00046617468871995723,0.00025170694847404147,0.0010656695385515783,0.0005009365172916631
4000.0,0.000123035,0.000515559,0.137,-0.114,0.368,-0.368,0.000293747,0.13,-0.108,0.291,-0.291,0.474217,0.472129,0.472759,0.474847,0.00038736938098987993,0.00020256942644505667,0.0008893533658391112,0.0003925736412969057
4100.0,9.8425e-05,0.000413377,0.139,-0.115,0.408,-0.408,0.000236723,0.131,-0.109,0.314,-0.314,0.474217,0.472129,0.472759,0.474847,0.0003172634566186017,0.00015804081853148876,0.000732402911247427,0.00029485046634236586
4200.0,7.87411e-05,0.000331213,0.14,-0.116,0.448,-0.448,0.000190806,0.133,-0.111,0.337,-0.337,0.474217,0.472129,0.472759,0.474847,0.0002599341474521203,0.00012310615973522507,0.0006023724230936875,0.0002202379017007656
4300.0,6.29979e-05,0.00026521,0.142,-0.117,0.488,-0.488,0.000153786,0.135,-0.112,0.36,-0.36,0.474217,0.472129,0.472759,0.474847,0.0002129136671989831,9.580561867753347e-05,0.0004950163161595976,0.00016350344363719123
4400.0,5.0388e-05,0.000212136,0.144,-0.118,0.529,-0.529,0.000123981,0.137,-0.113,0.383,-0.383,0.474217,0.472129,0.472759,0.474847,0.0001744121672444168,7.447266838330807e-05,0.0004064525286160542,0.00012023574981939428
4500.0,4.0296e-05,0.000169477,0.145,-0.119,0.569,-0.569,9.99631e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,0.0001428285081512453,5.77813960008769e-05,0.0003329485189525816,8.782973397311872e-05
4600.0,3.22129e-05,0.000135309,0.145,-0.119,0.569,-0.569,8.05872e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,0.00011514398365082752,4.658159776759492e-05,0.00026588821486617665,7.013964576790816e-05
4700.0,2.57365e-05,0.000107895,0.145,-0.119,0.569,-0.569,6.49492e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,9.280021669612948e-05,3.754240759980587e-05,0.000212097886812945,5.5950094127598956e-05
4800.0,2.05462e-05,8.59149e-05,0.145,-0.119,0.569,-0.569,5.23231e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,7.475988954772734e-05,3.0244177712510737e-05,0.00016897344067664898,4.457413533431658e-05
4900.0,1.63891e-05,6.83168e-05,0.145,-0.119,0.569,-0.569,4.21333e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,6.0200577838110896e-05,2.4354195619421033e-05,0.00013444391771841698,3.546546344359664e-05
5000.0,1.30628e-05,5.42478e-05,0.145,-0.119,0.569,-0.569,3.39139e-05,0.138,-0.115,0.406,-0.406,0.474217,0.472129,0.472759,0.474847,4.8456597910534165e-05,1.9603158423799773e-05,0.00010683436180923969,2.8182235519208884e-05
