mass,Wprime_cH3,Wprime_cH3_Up,Wprime_cH3_Down,Zprime_cH3,Zprime_cH3_Up,Zprime_cH3_Down,Zprime_cH1,Zprime_cH1_Up,Zprime_cH1_Down,Wprime_cH1,Wprime_cH1_Up,Wprime_cH1_Down,WH,WW,ZH,WZ
800.0,0.10515800575300001,0.11819759846637201,0.09443188916619401,0.0611308105906,0.068466507861472,0.055072747261071,0.00335214095827,0.0037611021551780003,0.0030135747214840003,0.0057682062111700004,0.006483463781355001,0.00517984917763,0.486459723746742,0.47551699640418504,0.500873925321598,0.49079382677370803
900.0,0.0459061285385,0.052103455891197005,0.040902360527803,0.026347681485900002,0.029799227760552,0.023554827248394,0.00186232875723,0.002108156153184,0.0016630595802060002,0.0032597915603100004,0.0036966036293910004,0.0029044742802360004,0.488988320421448,0.481493934150347,0.49862302581912804,0.493283073549366
1000.0,0.024279257950900003,0.027751191837878,0.021487143286546002,0.013634537047899001,0.015584275845749002,0.012066565287391001,0.00109449098554,0.001249908705486,0.000969719013188,0.0019484244311190001,0.002228997549201,0.0017243556215410002,0.48829196801495206,0.47903546664783203,0.49602966782969304,0.49157667328644306
1100.0,0.013980587243200001,0.016091655916923003,0.012302916774016001,0.007754013628510001,0.008932623700043,0.00681577797946,0.000670194451768,0.0007720640084360001,0.0005891009231040001,0.00120755277039,0.0013911007914890001,0.001062646437943,0.48668680525671104,0.481502046381769,0.49373730135645305,0.49099303528450505
1200.0,0.00843120589115,0.009780198833733001,0.007368873948865,0.004661521883270001,0.005416688428359,0.004069508604094,0.00042264821821300005,0.000491117229563,0.00036897189449900005,0.000766012049364,0.0008885739772620001,0.0006694945311440001,0.490853897549239,0.48456373687298404,0.495920699455945,0.492550998790766
1300.0,0.00537370604938,0.006276488665675001,0.004669750556911,0.0029187317680190003,0.0034149161685830005,0.002533459174641,0.000274412524474,0.00032078824111000004,0.00023819007124300002,0.0005051443618440001,0.000590008614633,0.00043897045044200006,0.48797931565575803,0.48430734076276405,0.49305329725509406,0.49075080061282905
1400.0,0.00349315265899,0.004107947526972001,0.003018083897367,0.00188347241478,0.00221873050461,0.001625436693955,0.00018197826198000002,0.00021437039261300002,0.000157047240089,0.00033724029802700004,0.00039693183077700003,0.000291038377197,0.487486225583983,0.485717354577376,0.49247640363417106,0.49163756813761805
1500.0,0.00233220970705,0.0027590040834400004,0.0020057003480630003,0.00125701243398,0.001489559734266,0.001078516668354,0.000123798594135,0.000146825132644,0.000106095395173,0.00023029567820500002,0.000272670082994,0.000197823987578,0.48676553930036404,0.484819722060408,0.49079717281556806,0.48937088563025005
1600.0,0.0015896273594700001,0.001893246185128,0.001359131392346,0.0008358982555980001,0.0009972266189280001,0.0007130212120250001,8.366985955190001e-05,9.981814244541671e-05,7.137039019777069e-05,0.00015939032768300001,0.000189674489942,0.00013627873016800002,0.48967839601426805,0.49145534867897606,0.499821563272247,0.49080769916971406
1700.0,0.00110429964323,0.0013218466729460001,0.0009397589963880001,0.0005787574601230001,0.000695087709607,0.000491365083644,5.86705176046e-05,7.040462112552001e-05,4.9811269446305404e-05,0.000112025315766,0.000134094302971,9.533354371686601e-05,0.48988926855278003,0.49002465247973004,0.496331056702947,0.48997853409005304
