M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
2600.,2599.99,0.647498,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,79.7555,0.47116,0.477833,0.00641261,0.00635997,0.00215523,0.00210259,0.00635991,0.00632891,79.7528,0.472647,0.,0.476347,0.0121224,0.000650242,0.00425754,0.0126878,0.01102,0.00644032,0.00302043
2700.,2699.99,0.647563,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,82.7034,0.47129,0.477449,0.00644161,0.00639276,0.00216361,0.00211476,0.0063927,0.00636355,82.701,0.47267,0.,0.476071,0.012181,0.000653387,0.00427813,0.0127554,0.00879738,0.0051021,0.00236942
2800.,2799.99,0.647622,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,85.6559,0.471405,0.477109,0.00646759,0.00642213,0.00217112,0.00212566,0.00642207,0.00639464,85.6538,0.472688,0.,0.475827,0.0122335,0.000656205,0.00429658,0.012816,0.00703223,0.00405245,0.00186407
2900.,2899.99,0.647674,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,88.6125,0.471506,0.476804,0.00649095,0.00644854,0.00217788,0.00213547,0.00644849,0.00642263,88.6106,0.472703,0.,0.475608,0.0122808,0.000658738,0.00431317,0.0128705,0.00562985,0.00323048,0.00147046
3000.,3000.,0.647721,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,91.5727,0.471596,0.47653,0.00651203,0.00647237,0.00218398,0.00214432,0.00647232,0.00644792,91.571,0.472715,0.,0.475412,0.0123234,0.000661024,0.00432814,0.0129197,0.00451288,0.00257265,0.00116241
3100.,3100.,0.647764,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,94.5362,0.471677,0.476283,0.00653111,0.00649395,0.0021895,0.00215233,0.0064939,0.00647085,94.5346,0.472724,0.,0.475236,0.012362,0.000663095,0.00434169,0.0129643,0.00362067,0.00205583,0.000921187
3200.,3200.,0.647803,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,97.5026,0.471748,0.47606,0.00654845,0.00651355,0.00219451,0.00215961,0.00651351,0.0064917,97.5012,0.472732,0.,0.475077,0.012397,0.000664975,0.00435401,0.0130048,0.00290702,0.00164562,0.000731461
3300.,3300.,0.647839,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,100.472,0.471813,0.475857,0.00656424,0.00653141,0.00219908,0.00216625,0.00653137,0.00651072,100.47,0.472738,0.,0.474933,0.012429,0.000666688,0.00436522,0.0130417,0.0023356,0.00131918,0.000581736
3400.,3400.,0.647871,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,103.443,0.471872,0.475673,0.00657867,0.00654773,0.00220325,0.00217231,0.00654769,0.00652811,103.442,0.472743,0.,0.474802,0.0124582,0.000668253,0.00437547,0.0130755,0.00187714,0.00105885,0.000463361
3500.,3500.,0.647901,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,106.417,0.471925,0.475504,0.00659188,0.00656268,0.00220707,0.00217787,0.00656264,0.00654405,106.416,0.472748,0.,0.474682,0.0124849,0.000669687,0.00438486,0.0131064,0.00150893,0.000850838,0.000369561
3600.,3600.,0.647928,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,109.392,0.471973,0.47535,0.00660402,0.0065764,0.00221058,0.00218297,0.00657637,0.0065587,109.391,0.472751,0.,0.474573,0.0125094,0.000671003,0.00439348,0.0131348,0.00121305,0.000684318,0.000295015
3700.,3700.,0.647953,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,112.37,0.472017,0.475209,0.00661519,0.00658904,0.00221382,0.00218766,0.006589,0.00657219,112.369,0.472754,0.,0.474473,0.012532,0.000672215,0.00440141,0.013161,0.000975141,0.000550813,0.000235716
3800.,3800.,0.647976,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,115.349,0.472058,0.475078,0.00662549,0.00660069,0.0022168,0.00219199,0.00660066,0.00658465,115.348,0.472756,0.,0.474381,0.0125529,0.000673333,0.00440873,0.0131851,0.000783596,0.000443641,0.000188334
3900.,3900.,0.647997,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,118.33,0.472095,0.474958,0.00663502,0.00661146,0.00221955,0.002196,0.00661143,0.00659617,118.329,0.472758,0.,0.474296,0.0125721,0.000674366,0.0044155,0.0132074,0.000629536,0.000357546,0.000150705
4000.,4000.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000515559,0.000293747,0.000123035
4100.,4100.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000413377,0.000236723,0.000098425
4200.,4200.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000331213,0.000190806,0.0000787411
4300.,4300.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.00026521,0.000153786,0.0000629979
4400.,4400.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000212136,0.000123981,0.000050388
4500.,4500.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000169477,0.0000999631,0.000040296
4600.,4600.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000135309,0.0000805872,0.0000322129
4700.,4700.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.000107895,0.0000649492,0.0000257365
4800.,4800.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000859149,0.0000523231,0.0000205462
4900.,4900.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000683168,0.0000421333,0.0000163891
5000.,5000.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000542478,0.0000339139,0.0000130628
5100.,5100.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000424846,0.0000269688,0.0000102747
5200.,5200.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000336384,0.0000216883,0.00000817488
5300.,5300.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000265819,0.0000174251,0.00000649458
5400.,5400.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000209687,0.0000139886,0.00000515289
5500.,5500.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000165057,0.0000112173,0.00000408137
5600.,5600.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000129680,0.0000089865,0.00000322782
5700.,5700.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000101644,0.0000071896,0.00000254763
5800.,5800.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000079506,0.0000057453,0.00000200722
5900.,5900.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000062037,0.0000045843,0.0000015779
6000.,6000.,0.648017,3.,-0.976243,1.02433,1.02433,1.02433,1.,-0.0240503,0.928159,121.312,0.472129,0.474847,0.00664384,0.00662144,0.0022221,0.00219971,0.00662142,0.00660685,121.311,0.472759,0.,0.474217,0.01259,0.000675323,0.00442176,0.0132281,0.0000048299,0.0000036528,0.0000012378
