M0,M+,g,gv,ch,cq,cl,c3,cvvw,cvvhh,cvvv,total_widthV0GeV,BRWW,BRZh,BRuu,BRdd,BRll,BRnunu,BRbb,BRtt,total_widthV+GeV,BRWZ,BRWGam,BRWh,BRud,BRus,BRlnu,BRtb,CX+(pb),CX0(pb),CX-(pb)
1550.,1550.,0.646511,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,38.5781,0.0215314,0.0209241,0.12032,0.120187,0.0401511,0.0400181,0.120184,0.115838,38.578,0.0217156,0.,0.020741,0.228265,0.0122441,0.0801696,0.236017,2.37776,1.5788,0.848845
1600.,1600.,0.646627,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,39.8705,0.0214481,0.0208786,0.120298,0.120173,0.0401408,0.0400161,0.12017,0.116091,39.8704,0.0216206,0.,0.020707,0.22823,0.0122422,0.0801573,0.236257,2.06304,1.35886,0.72465
1650.,1650.,0.646732,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,41.1615,0.0213723,0.0208372,0.120277,0.12016,0.0401314,0.0400143,0.120157,0.116322,41.1614,0.0215344,0.,0.020676,0.228198,0.0122405,0.0801461,0.236475,1.79446,1.17258,0.620351
1700.,1700.,0.646828,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,42.4513,0.0213032,0.0207994,0.120258,0.120148,0.0401228,0.0400127,0.120145,0.116533,42.4512,0.0214557,0.,0.0206477,0.228168,0.0122389,0.0801358,0.236675,1.56439,1.0145,0.532639
1750.,1750.,0.646916,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,43.7399,0.02124,0.0207649,0.120241,0.120137,0.040115,0.0400111,0.120135,0.116726,43.7398,0.0213837,0.,0.0206219,0.228142,0.0122375,0.0801264,0.236857,1.36666,0.87942,0.458355
1800.,1800.,0.646997,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,45.0274,0.0211821,0.0207332,0.120225,0.120127,0.0401078,0.0400097,0.120125,0.116903,45.0273,0.0213178,0.,0.0205981,0.228117,0.0122362,0.0801177,0.237024,1.19637,0.76418,0.395458
1850.,1850.,0.647071,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,46.3139,0.0211288,0.0207041,0.120211,0.120118,0.0401012,0.0400084,0.120116,0.117065,46.3139,0.0212571,0.,0.0205763,0.228094,0.0122349,0.0801098,0.237178,1.04903,0.665318,0.341836
1900.,1900.,0.64714,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,47.5996,0.0210797,0.0206773,0.120197,0.120109,0.0400951,0.0400072,0.120107,0.117215,47.5996,0.0212013,0.,0.0205562,0.228074,0.0122338,0.0801025,0.23732,0.921649,0.580392,0.296111
1950.,1950.,0.647203,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,48.8844,0.0210344,0.0206525,0.120185,0.120102,0.0400894,0.0400061,0.120099,0.117354,48.8844,0.0211497,0.,0.0205376,0.228054,0.0122328,0.0800957,0.237451,0.810827,0.507207,0.256981
2000.,2000.,0.647262,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,50.1685,0.0209925,0.0206296,0.120173,0.120094,0.0400842,0.040005,0.120092,0.117482,50.1684,0.021102,0.,0.0205205,0.228036,0.0122318,0.0800894,0.237573,0.714435,0.443963,0.223448
2050.,2050.,0.647317,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,51.4518,0.0209536,0.0206083,0.120163,0.120087,0.0400794,0.0400041,0.120086,0.117602,51.4517,0.0210578,0.,0.0205045,0.22802,0.0122309,0.0800836,0.237685,0.630349,0.389222,0.194627
2100.,2100.,0.647367,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,52.7344,0.0209175,0.0205886,0.120153,0.120081,0.0400749,0.0400032,0.120079,0.117712,52.7344,0.0210167,0.,0.0204897,0.228004,0.0122301,0.0800782,0.23779,0.556884,0.341747,0.169801
2150.,2150.,0.647415,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,54.0165,0.0208839,0.0205702,0.120144,0.120075,0.0400707,0.0400023,0.120074,0.117815,54.0164,0.0209785,0.,0.0204759,0.22799,0.0122293,0.0800731,0.237887,0.492572,0.300489,0.148376
2200.,2200.,0.647459,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,55.2979,0.0208526,0.0205531,0.120135,0.12007,0.0400668,0.0400015,0.120068,0.117911,55.2979,0.0209429,0.,0.020463,0.227977,0.0122286,0.0800684,0.237978,0.436172,0.264551,0.129834
2250.,2250.,0.6475,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,56.5788,0.0208233,0.0205371,0.120127,0.120065,0.0400632,0.0400008,0.120063,0.118001,56.5788,0.0209096,0.,0.020451,0.227964,0.012228,0.080064,0.238063,0.386633,0.233206,0.113767
2300.,2300.,0.647538,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,57.8592,0.020796,0.0205221,0.12012,0.12006,0.0400598,0.0400001,0.120058,0.118085,57.8592,0.0208785,0.,0.0204398,0.227952,0.0122273,0.0800599,0.238142,0.343044,0.20582,0.0998141
2350.,2350.,0.647574,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,59.1391,0.0207704,0.0205081,0.120113,0.120055,0.0400566,0.0399994,0.120054,0.118164,59.1391,0.0208494,0.,0.0204293,0.227941,0.0122267,0.0800561,0.238217,0.304653,0.18184,0.0876898
2400.,2400.,0.647608,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,60.4186,0.0207464,0.0204949,0.120106,0.120051,0.0400536,0.0399988,0.12005,0.118238,60.4186,0.0208221,0.,0.0204194,0.227931,0.0122262,0.0800525,0.238286,0.27078,0.160846,0.0771302
2450.,2450.,0.64764,1.,-0.555969,1.3159,1.3159,1.3159,1.,0.0772754,-0.203965,61.6976,0.0207238,0.0204826,0.1201,0.120047,0.0400508,0.0399982,0.120046,0.118307,61.6976,0.0207964,0.,0.0204102,0.227922,0.0122257,0.0800491,0.238352,0.240863,0.142402,0.0679001
